1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
d,x,x,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,u,l,l,l,l,"u,l"
d,x,x,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,u
"d,r",r,r,r,r,r,r,r,r,r,r,r,r,r,r,u,x,x,x,x,"d,r",r,r,r,r,r,r,r,r,r,r,r,r,u,x,x,x,x,"d,r",r,r,r,r,r,r,r,r,r,r,r,r,u,x,x,x,x,"d,r",r,r,r,r,r,r,r,r,r,r,u
d,x,x,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,u
d,x,x,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,u
"d,r",r,r,r,r,r,r,r,r,r,r,r,r,r,r,u,r,r,r,r,"d,r",r,r,r,r,r,r,r,r,r,r,r,r,u,x,x,x,x,"d,r",r,r,r,r,r,r,r,r,r,r,r,r,u,x,x,x,x,"d,r",r,r,r,r,r,r,r,r,r,r,u
d,x,x,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,u
d,x,x,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,u
d,x,x,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,u
d,x,x,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,u
d,x,d,l,l,l,l,l,l,l,l,l,l,l,l,"u,l",r,r,r,r,d,l,l,l,l,l,l,l,l,l,l,l,l,"u,l",x,x,x,x,d,l,l,l,l,l,l,l,l,l,l,l,l,"u,l",x,x,x,x,d,l,l,l,l,l,l,l,l,l,l,"u,l"
d,l,l,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,u
d,x,x,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,u
d,l,l,l,l,l,l,l,l,l,l,l,l,l,l,"u,l",x,x,x,x,d,l,l,l,l,l,l,l,l,l,l,l,l,"u,l",x,x,x,x,d,l,l,l,l,l,l,l,l,l,l,l,l,"u,l",x,x,x,x,d,l,l,l,l,l,l,l,l,l,l,"u,l"
"d,r",r,r,r,r,r,r,r,r,r,r,r,r,r,r,"r,u",r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,u,x,x,x,x,"d,r",r,r,r,r,r,r,r,r,r,r,r,r,"r,u",r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,u
d,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,u
d,x,d,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,"l,d",l,l,l,l,l,l,l,l,l,l,l,l,"u,l",x,x,x,x,d,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,"l,d",l,l,l,l,l,l,l,l,l,l,"u,l"
d,l,l,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,u
d,x,x,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,u
"d,r",r,r,r,r,r,r,r,r,r,r,r,r,r,r,u,x,x,x,x,"d,r",r,r,r,r,r,r,r,r,r,r,r,r,u,x,x,x,x,"d,r",r,r,r,r,r,r,r,r,r,r,r,r,u,x,x,x,x,"d,r",r,r,r,r,r,r,r,r,r,r,u
d,x,x,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,u
d,x,x,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,u
d,x,r,r,r,r,r,r,r,r,r,r,r,r,r,u,x,x,x,x,"d,r",r,r,r,r,r,r,r,r,r,r,r,r,u,x,x,x,x,"d,r",r,r,r,r,r,r,r,r,r,r,r,r,u,x,x,x,x,"d,r",r,r,r,r,r,r,r,r,r,r,u
"d,r",r,u,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,u
d,x,x,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,u
d,x,x,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,u
d,x,x,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,u
d,l,l,l,l,l,l,l,l,l,l,l,l,l,l,"u,l",x,x,x,x,d,l,l,l,l,l,l,l,l,l,l,l,l,"u,l",x,x,x,x,d,l,l,l,l,l,l,l,l,l,l,l,l,"u,l",x,x,x,x,d,l,l,l,l,l,l,l,l,l,l,"u,l"
d,x,x,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,u
r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,"r,u",r,d,x,x,r,r,d,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,r,d,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,u
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,d,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,x,u,x,x,x,x,d,x,x,x,x,x,x,x,x,x,x,u
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,"r,u",r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,"r,u",r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,u
